"11/20/23, 5:58 PM                                                                                                                            about:blank",,,,,,,,,,,,,,,
,"Monthly Mean Avg Temperature for FOXBORO, MA",,,,,,,,,,,,,,
,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
,2000,M,30.9,M,M,56.1,M,68.5,M,61.8,51.8,M,26.6,49.3,
,2001,26.3,M,M,48.1,M,M,69.6,M,M,M,46.6,M,47.7,
,2002,M,33.8,39.4,51.2,55.7,M,71.8,72.8,M,49.8,39.7,29.2,49.3,
,2003,21.6,M,34.9,42.6,53.6,64.4,72.4,73.4,64.1,M,42.1,M,52.1,
,2004,M,M,36.8,48.0,59.1,M,M,69.9,63.1,50.3,M,31.9,51.3,
,2005,26.3,M,33.4,M,M,M,M,M,66.2,52.9,44.8,M,44.7,
,2006,36.6,30.7,M,50.5,M,M,74.8,M,62.5,52.2,48.1,39.9,49.4,
,2007,M,24.2,M,46.1,59.8,66.5,71.9,71.4,M,57.3,42.6,M,55.0,
,2008,30.9,M,M,49.5,M,69.7,74.7,68.5,62.9,50.7,41.1,34.8,53.6,
,2009,21.9,30.2,35.9,50.1,M,M,68.9,71.7,60.8,48.8,46.8,31.9,46.7,
,2010,27.3,30.5,42.4,51.4,61.5,69.0,75.2,70.5,65.9,52.9,42.4,29.2,51.5,
,2011,M,26.6,37.0,49.0,57.9,66.3,73.8,71.1,65.6,53.8,46.9,37.7,53.2,
,2012,31.3,34.9,44.8,50.4,60.5,64.6,73.8,72.5,62.5,53.4,41.3,36.3,52.2,
,2013,29.0,29.4,35.7,47.5,58.4,67.3,76.1,68.3,62.1,54.5,40.1,31.8,50.0,
,2014,24.8,26.2,29.8,46.3,58.4,66.5,72.4,68.2,64.0,54.5,40.5,36.9,49.0,
,2015,23.5,14.9,30.5,46.9,61.7,64.1,72.2,72.5,66.8,51.6,46.3,43.0,49.5,
,2016,29.5,32.4,41.8,46.7,57.6,67.1,74.3,73.5,65.3,53.4,43.9,32.6,51.5,
,2017,32.4,34.2,32.3,51.3,55.6,66.8,70.4,69.3,65.6,58.7,41.4,28.0,50.5,
,2018,25.0,34.9,35.2,44.0,61.0,65.5,73.8,74.1,65.1,50.8,38.8,33.3,50.1,
,2019,27.6,29.4,34.2,48.6,55.0,65.7,73.8,70.5,62.8,52.5,38.5,32.5,49.3,
,2020,M,M,M,M,M,M,M,M,M,M,M,M,M,
,2021,M,M,M,M,M,M,M,M,M,M,M,M,M,
,2022,M,M,M,M,M,M,M,M,M,M,M,M,M,
,2023,M,M,M,M,M,M,M,M,M,M,M,M,M,
,Mean,27.6,29.5,36.3,48.2,58.1,66.4,72.7,71.1,64.0,52.8,42.9,33.5,50.3,
,Max,36.6,34.9,44.8,51.4,61.7,69.7,76.1,74.1,66.8,58.7,48.1,43.0,55.0,
,,2006,2012,2012,2010,2015,2008,2013,2018,2015,2017,2006,2015,,
,Min,21.6,14.9,29.8,42.6,53.6,64.1,68.5,68.2,60.8,48.8,38.5,26.6,44.7,
,,2003,2015,2014,2003,2003,2015,2000,2014,2009,2009,2019,2000,,
,,,,,,,,,,,,,,,
about:blank                                                                                                                                                                                                                                                                1/1,,,,,,,,,,,,,,,