"12/5/23, 4:58 PM                                                                                                                             about:blank",,,,,,,,,,,,,,,
,"Monthly Total Precipitation for Boston Area, MA (ThreadEx)",,,,,,,,,,,,,,
,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,
,2000,2.62,2.55,3.59,5.02,2.88,6.61,5.20,2.22,2.87,2.86,4.51,4.67,45.60,
,2001,1.58,1.37,7.57,0.88,1.23,4.99,2.13,4.14,2.29,0.98,0.73,2.83,30.72,
,2002,3.14,1.81,3.52,2.61,4.48,4.77,1.42,2.13,3.39,3.47,5.03,5.30,41.07,
,2003,1.81,4.21,4.00,4.00,4.12,4.69,2.11,M,2.65,6.20,2.63,5.06,M,
,2004,1.01,1.45,3.38,9.57,3.07,1.95,3.87,4.38,7.44,1.88,2.91,3.66,44.57,
,2005,4.45,2.70,3.89,3.17,3.98,1.46,3.37,2.88,1.78,9.41,3.71,2.87,43.67,
,2006,4.60,2.64,0.56,1.83,12.48,10.09,3.58,3.20,1.72,4.50,5.80,1.89,52.89,
,2007,2.57,2.20,4.31,6.71,3.70,2.12,5.26,0.66,1.81,2.08,2.80,5.25,39.47,
,2008,2.69,7.94,4.66,2.98,2.73,3.46,6.00,4.47,6.45,1.41,4.57,7.10,54.46,
,2009,3.35,1.94,2.51,4.13,2.69,3.22,6.90,3.24,3.09,5.17,3.34,3.91,43.49,
,2010,2.91,3.34,14.87,1.78,2.90,3.18,2.66,5.75,1.80,3.90,2.96,3.61,49.66,
,2011,4.57,4.57,2.10,4.03,3.23,4.76,2.04,7.74,4.40,6.77,4.21,3.97,52.39,
,2012,2.67,1.00,1.21,3.09,3.43,4.71,3.88,3.08,4.10,2.62,1.01,5.93,36.73,
,2013,1.08,5.26,3.32,1.37,3.22,10.50,3.61,1.84,2.21,0.61,2.72,4.62,40.36,
,2014,3.24,4.13,4.48,3.24,2.86,2.62,4.57,1.75,0.70,5.83,5.27,6.56,45.25,
,2015,3.57,3.37,3.05,2.28,1.22,5.01,2.09,2.19,3.93,1.74,2.07,4.28,34.80,
,2016,3.27,4.17,3.16,2.91,2.83,1.33,0.87,1.72,1.38,5.46,2.70,3.25,33.05,
,2017,4.25,3.22,4.18,5.73,3.45,4.85,4.03,1.58,3.73,4.14,1.80,2.49,43.45,
,2018,4.92,3.77,5.07,4.62,1.90,2.96,4.55,4.65,5.12,3.78,9.26,2.72,53.32,
,2019,3.62,3.45,2.95,6.52,3.35,5.15,5.81,3.48,2.16,4.45,3.37,6.07,50.38,
,2020,1.39,3.30,3.60,4.33,2.21,2.66,1.95,2.28,0.97,4.98,4.20,5.67,37.54,
,2021,2.02,3.05,1.89,4.44,4.92,2.57,10.07,7.00,7.47,5.11,1.34,2.45,52.33,
,2022,2.33,4.61,2.93,2.32,1.32,2.33,0.62,1.47,2.60,4.28,2.69,3.75,31.25,
,2023,5.23,1.36,4.29,3.10,2.25,3.44,10.43,6.46,3.75,1.42,1.93,M,M,
,Mean,3.04,3.23,3.96,3.78,3.35,4.14,4.04,3.40,3.24,3.88,3.40,4.26,43.48,
,Max,5.23,7.94,14.87,9.57,12.48,10.50,10.43,7.74,7.47,9.41,9.26,7.10,54.46,
,,2023,2008,2010,2004,2006,2013,2023,2011,2021,2005,2018,2008,2008,
,Min,1.01,1.00,0.56,0.88,1.22,1.33,0.62,0.66,0.70,0.61,0.73,1.89,30.72,
,,2004,2012,2006,2001,2015,2016,2022,2007,2014,2013,2001,2006,2001,
,,,,,,,,,,,,,,,
about:blank                                                                                                                                                                                                                                                                1/1,,,,,,,,,,,,,,,